County,County Value**,# Households with Broadband Access,Error Margin
"Alabama","87%","1,746,990","87-88%"
"Autauga","93%","21,361","91-95"
"Baldwin","91%","89,266","89-92"
"Barbour","75%","6,890","71-80"
"Bibb","83%","6,390","79-87"
"Blount","85%","18,851","83-87"
"Bullock","68%","2,512","60-76"
"Butler","83%","6,282","78-88"
"Calhoun","87%","39,310","86-88"
"Chambers","82%","11,034","79-85"
"Cherokee","83%","8,422","80-86"
"Chilton","83%","14,884","80-86"
"Choctaw","76%","3,999","72-80"
"Clarke","74%","6,206","69-78"
"Clay","80%","4,681","76-85"
"Cleburne","76%","4,544","71-81"
"Coffee","87%","18,217","85-89"
"Colbert","82%","19,913","80-84"
"Conecuh","73%","3,211","67-78"
"Coosa","81%","3,567","76-86"
"Covington","84%","12,269","82-86"
"Crenshaw","69%","3,619","64-74"
"Cullman","87%","30,842","86-89"
"Dale","86%","16,968","83-89"
"Dallas","81%","12,845","78-84"
"DeKalb","87%","22,755","85-89"
"Elmore","92%","30,142","90-93"
"Escambia","79%","10,114","75-83"
"Etowah","87%","34,465","86-89"
"Fayette","81%","5,059","77-85"
"Franklin","72%","8,602","68-76"
"Geneva","80%","8,477","76-83"
"Greene","67%","2,160","60-74"
"Hale","75%","4,252","70-81"
"Henry","82%","5,824","79-86"
"Houston","87%","37,464","86-87"
"Jackson","90%","19,585","88-91"
"Jefferson","90%","244,084","90-91"
"Lamar","78%","3,950","72-83"
"Lauderdale","85%","33,402","83-87"
"Lawrence","79%","10,759","75-83"
"Lee","89%","61,720","88-90"
"Limestone","88%","36,046","86-90"
"Lowndes","72%","3,104","67-78"
"Macon","79%","5,724","76-82"
"Madison","92%","152,364","91-93"
"Marengo","78%","6,163","73-83"
"Marion","79%","8,382","76-82"
"Marshall","90%","32,861","89-91"
"Mobile","86%","139,490","85-87"
"Monroe","77%","5,665","73-81"
"Montgomery","90%","82,512","89-91"
"Morgan","86%","42,153","84-88"
"Perry","76%","2,598","68-83"
"Pickens","80%","5,416","76-84"
"Pike","82%","10,223","79-85"
"Randolph","85%","7,871","81-88"
"Russell","80%","19,069","77-83"
"Shelby","95%","82,246","94-95"
"St. Clair","91%","31,971","90-93"
"Sumter","76%","3,666","71-81"
"Talladega","87%","29,332","85-89"
"Tallapoosa","84%","14,321","81-87"
"Tuscaloosa","89%","79,808","87-90"
"Walker","85%","21,515","83-87"
"Washington","81%","4,839","78-85"
"Wilcox","79%","3,046","74-84"
"Winston","82%","7,708","79-84"